second,avg_latency_ms_etcd_v3_original,throughput_etcd_v3_original,cumulative_throughput_etcd_v3_original,avg_cpu_etcd_v3_original,avg_memory_mb_etcd_v3_original,avg_latency_ms_etcd_v3_snappy,throughput_etcd_v3_snappy,cumulative_throughput_etcd_v3_snappy,avg_cpu_etcd_v3_snappy,avg_memory_mb_etcd_v3_snappy,avg_latency_ms_etcd_v3_lz4,throughput_etcd_v3_lz4,cumulative_throughput_etcd_v3_lz4,avg_cpu_etcd_v3_lz4,avg_memory_mb_etcd_v3_lz4
30,158.120391,7,684,19.46,1623.86,103.782687,8,669,18.70,1640.47,117.642963,7,629,20.40,1621.33
31,133.021856,7,691,19.20,1629.63,126.701389,9,678,18.44,1645.95,125.178389,9,638,20.14,1629.78
32,165.403073,6,697,18.94,1651.58,145.860230,7,685,18.18,1653.15,131.344247,8,646,19.84,1647.77
33,214.784055,5,702,18.70,1674.41,103.736938,8,693,17.92,1668.57,111.464838,7,653,19.60,1687.22
34,189.685555,5,707,18.45,1683.16,126.597334,9,702,17.76,1682.27,125.004373,9,662,19.47,1724.82
35,170.220018,6,713,18.20,1688.41,145.023757,7,709,17.60,1697.86,122.886114,9,671,19.32,1762.75
36,170.875302,6,719,17.98,1705.12,103.663453,8,717,17.37,1720.94,123.088097,6,677,19.15,1801.14
37,149.402928,5,724,17.78,1731.05,126.974858,9,726,17.17,1744.38,125.842693,9,686,18.96,1808.97
38,151.595055,7,731,17.59,1764.36,145.288044,7,733,17.01,1774.35,121.172954,9,695,18.75,1814.24
39,163.458417,7,738,17.42,1803.45,103.591830,8,741,16.83,1800.82,123.094637,6,701,18.51,1821.15
40,118.366766,8,746,17.27,1832.09,127.122169,9,750,16.68,1822.60,125.521503,9,710,18.33,1830.10
