second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
170,0.355577,2776,463191,17.25,43.86,0.255267,3891,648390,11.62,105.33,0.414033,2390,401178,13.74,21.23
171,0.352737,2804,465995,17.27,43.86,0.243953,4071,652461,11.62,105.33,0.421127,2336,403514,13.75,21.23
172,0.356634,2770,468765,17.27,43.86,0.243090,4083,656544,11.63,106.02,0.411454,2390,405904,13.75,21.23
173,0.346471,2855,471620,17.28,43.86,0.252708,3929,660473,11.63,106.02,0.406626,2420,408324,13.76,21.23
174,0.347096,2848,474468,17.30,43.86,0.241434,4112,664585,11.63,106.58,0.408394,2418,410742,13.77,21.23
175,0.356396,2773,477241,17.30,43.86,0.246626,4025,668610,11.63,106.58,0.404816,2445,413187,13.78,21.36
176,0.373608,2641,479882,17.31,43.86,0.258288,3846,672456,11.64,106.58,0.402026,2461,415648,13.78,21.36
177,0.358266,2744,482626,17.32,43.86,0.252792,3928,676384,11.64,106.58,0.420046,2356,418004,13.79,21.36
178,0.359645,2739,485365,17.33,43.86,0.240688,4124,680508,11.64,106.58,0.424115,2334,420338,13.79,21.36
179,0.355112,2772,488137,17.33,43.86,0.245459,4045,684553,11.64,106.58,0.413472,2395,422733,13.80,21.36
180,0.360116,2740,490877,17.34,43.86,0.246562,4026,688579,11.64,106.58,0.411848,2404,425137,13.82,21.36
181,0.365604,2688,493565,17.35,43.86,0.270951,3667,692246,11.65,106.58,0.412126,2404,427541,13.82,21.36
182,0.361710,2723,496288,17.35,43.86,0.254100,3907,696153,11.65,106.58,0.408345,2424,429965,13.82,21.36
183,0.354876,2773,499061,17.36,43.86,0.266352,3730,699883,11.65,106.58,0.408947,2423,432388,13.84,21.36
184,0.348983,2821,501882,17.37,43.86,0.246175,4033,703916,11.65,106.58,0.413579,2393,434781,13.85,21.36
185,0.349587,2823,504705,17.38,43.86,0.245984,4036,707952,11.66,106.58,0.411890,2390,437171,13.85,21.36
186,0.348159,2835,507540,17.38,43.86,0.279087,3559,711511,11.66,106.58,0.436470,2254,439425,13.86,21.36
187,0.359368,2744,510284,17.39,43.86,0.273802,3629,715140,11.67,106.58,0.424691,2317,441742,13.87,21.36
188,0.351009,2808,513092,17.40,43.86,0.272334,3646,718786,11.67,106.58,0.427171,2301,444043,13.87,21.36
189,0.366535,2686,515778,17.40,43.86,0.265562,3742,722528,11.67,106.58,0.412592,2384,446427,13.88,21.36
190,0.357977,2754,518532,17.41,43.86,0.282294,3520,726048,11.68,106.58,0.415842,2367,448794,13.89,21.36
191,0.363655,2709,521241,17.41,43.86,0.279001,3562,729610,11.68,106.58,0.413630,2377,451171,13.90,21.36
192,0.358433,2747,523988,17.42,43.86,0.268771,3697,733307,11.68,106.58,0.422647,2329,453500,13.91,21.36
193,0.358279,2752,526740,17.43,43.86,0.266680,3724,737031,11.68,106.58,0.424898,2315,455815,13.91,21.36
194,0.361063,2732,529472,17.43,43.86,0.273118,3638,740669,11.69,106.58,0.420127,2341,458156,13.92,21.36
195,0.351448,2805,532277,17.44,43.86,0.276999,3588,744257,11.68,106.58,0.421213,2336,460492,13.92,21.36
196,0.339351,2907,535184,17.44,43.86,0.251319,3952,748209,11.68,106.58,0.437768,2251,462743,13.93,21.70
197,0.358067,2757,537941,17.45,43.86,0.259518,3828,752037,11.68,106.58,0.416317,2363,465106,13.94,21.70
198,0.355113,2788,540729,17.46,43.86,0.241693,4108,756145,11.67,106.58,0.418527,2351,467457,13.95,21.70
199,0.347362,2848,543577,17.47,43.86,0.240300,4132,760277,11.67,106.58,0.425828,2311,469768,13.95,21.70
200,0.359438,2751,546328,17.47,43.86,0.257565,3857,764134,11.68,106.58,0.422789,2327,472095,13.96,21.70
201,0.356410,2774,549102,17.48,43.86,0.240194,4135,768269,11.68,106.58,0.411573,2398,474493,13.97,21.70
202,0.358623,2760,551862,17.49,43.86,0.268788,3697,771966,11.68,106.58,0.433803,2268,476761,13.97,21.70
203,0.356892,2769,554631,17.49,43.86,0.260396,3815,775781,11.67,106.58,0.432047,2275,479036,13.98,21.70
204,0.357933,2764,557395,17.50,43.86,0.264773,3754,779535,11.67,106.58,0.416535,2359,481395,13.98,21.70
205,0.358556,2757,560152,17.51,43.86,0.282743,3516,783051,11.66,106.58,0.426551,2307,483702,13.99,21.70
